"";"id";"id2";"track";"azimut";"azimut.class"
"1";1;1;"Malia_track_points_13";-54,1630845384354;3
"11";1;2;"Malia_track_points_14";-59,716279087317;3
"12";1;3;"Malia_track_points_17";81,7225439613566;6
"13";1;4;"Malia_track_points_19";152,592326683034;8
"14";1;5;"Malia_track_points_1t";108,701934193652;7
"15";1;6;"Malia_track_points_2";143,535804885058;8
"16";1;7;"Malia_track_points_21";0;4
"17";1;8;"Malia_track_points_24";119,523023280171;7
"18";1;9;"Malia_track_points_26";-118,516975325807;2
"19";1;10;"Malia_track_points_28";-138,640693975068;1
"110";1;11;"Malia_track_points_32";-56,409124897007;3
"111";1;12;"Malia_track_points_35";-25,651075713534;4
"112";1;13;"Malia_track_points_39";115,432307884466;7
"113";1;14;"Malia_track_points_4";-173,140553986996;1
"114";1;15;"Malia_track_points_40";-46,0298934638575;3
"115";1;16;"Malia_track_points_41";-133,259683273364;2
"116";1;17;"Malia_track_points_42";145,467270967487;8
"117";1;18;"Malia_track_points_43";0;4
"118";1;19;"Malia_track_points_44";147,538374259365;8
"119";1;20;"Malia_track_points_48";139,958674380946;8
"120";1;21;"Malia_track_points_50";-52,6141574147033;3
"121";1;22;"Malia_track_points_51";-24,8142034787132;4
"122";1;23;"Malia_track_points_55";142,341707013601;8
"123";1;24;"Malia_track_points_58";-14,1008110622191;4
"124";1;25;"Malia_track_points_5t";-67,5242705140315;3
"125";1;26;"Malia_track_points_6";0;4
