"";"id";"id2";"track";"azimut";"azimut.class"
"1";1;1;"Malia_track_points_10";-16,3648181456266;4
"11";1;2;"Malia_track_points_11";-8,76031166436468;4
"12";1;3;"Malia_track_points_12";-5,8879306083353;4
"13";1;4;"Malia_track_points_16";0;4
"14";1;5;"Malia_track_points_18";-120,176492463759;2
"15";1;6;"Malia_track_points_22";8,46835843503987;5
"16";1;7;"Malia_track_points_25";-23,0589302822594;4
"17";1;8;"Malia_track_points_26";0;4
"18";1;9;"Malia_track_points_27";-19,882490701575;4
"19";1;10;"Malia_track_points_29";-17,2835579509752;4
"110";1;11;"Malia_track_points_2t";-12,7956238141102;4
"111";1;12;"Malia_track_points_3";-176,27556707262;1
"112";1;13;"Malia_track_points_30";-168,012087687811;1
"113";1;14;"Malia_track_points_31";14,5489168987386;5
"114";1;15;"Malia_track_points_33";-14,0137888066729;4
"115";1;16;"Malia_track_points_35";13,8376359153582;5
"116";1;17;"Malia_track_points_37";138,632944316937;8
"117";1;18;"Malia_track_points_38";101,763080057106;7
"118";1;19;"Malia_track_points_3t";0;4
"119";1;20;"Malia_track_points_4";12,3827529712855;5
"120";1;21;"Malia_track_points_45";132,246118018845;7
"121";1;22;"Malia_track_points_47";129,022712234067;7
"122";1;23;"Malia_track_points_50";-175,967454424222;1
"123";1;24;"Malia_track_points_52";169,727693840383;8
"124";1;25;"Malia_track_points_53";-23,0485949183364;4
"125";1;26;"Malia_track_points_59";-116,585839377512;2
"126";1;27;"Malia_track_points_5t";-22,9062028297679;4
